person_age,person_income,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status,monthly_payment_est,income_per_year_of_emp,interest_income_ratio,credit_exp_ratio,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
69.0,2192370.0,68.1,1,7546.0,10.65,0.45,0,28.0,1.0,628.8333333333334,31727.496382054997,4.857754458529145e-06,0.4057971014492754,0,1,0,1,0,0,0,0
73.0,2958934.5,50.2,3,6887.0,15.18,0.266,1,13.0,1.0,573.9166666666666,57791.689453125,5.130223352283279e-06,0.1780821917808219,0,0,0,0,0,0,0,1
82.0,2080475.0,13.8,1,28837.0,16.4,0.724,1,18.0,1.0,2403.0833333333335,140572.63513513512,7.882811433537324e-06,0.21951219512195122,0,0,1,0,0,0,0,1
53.0,1966889.0,48.6,7,31834.0,20.64,0.819,1,29.0,1.0,2652.8333333333335,39655.02016129032,1.0493723594100331e-05,0.5471698113207547,1,0,0,0,0,0,1,0
81.0,4030390.0,61.8,6,20227.0,18.03,0.754,1,25.0,1.0,1685.5833333333333,64178.1847133758,4.4735113789208044e-06,0.30864197530864196,1,0,0,1,0,0,0,0
33.0,671540.0,1.0,3,20294.0,23.16,0.581,0,7.0,1.0,1691.1666666666667,335770.0,3.448784214217747e-05,0.21212121212121213,0,0,1,0,0,0,0,0
91.0,5174080.0,1.6,1,5596.0,10.92,0.333,0,30.0,1.0,466.3333333333333,1990030.7692307692,2.1105197232126824e-06,0.32967032967032966,0,0,1,0,0,0,0,1
97.0,4709815.0,21.1,2,14450.0,7.16,0.53,1,28.0,1.0,1204.1666666666667,213113.80090497737,1.5202292403779682e-06,0.28865979381443296,0,0,0,0,0,0,0,0
81.0,5882190.0,27.2,5,15185.0,6.06,0.687,1,4.0,1.0,1265.4166666666667,208588.29787234042,1.0302283621868109e-06,0.04938271604938271,0,1,0,0,1,0,0,0
99.0,5946795.44,4.2,2,27858.0,21.31,0.27,0,16.0,1.0,2321.5,1143614.5076923077,3.583441978383911e-06,0.16161616161616163,0,1,0,0,1,0,0,0
72.0,5554992.0,18.3,2,21810.0,11.56,0.615,1,17.0,1.0,1817.5,287823.41968911915,2.0810107231458257e-06,0.2361111111111111,1,0,0,0,1,0,0,0
60.0,2874574.0,51.2,2,12328.0,16.54,0.174,1,11.0,1.0,1027.3333333333333,55068.46743295019,5.75389405390362e-06,0.18333333333333332,0,0,1,1,0,0,0,0
84.0,2048940.0,64.4,1,2853.0,10.24,0.094,0,3.0,0.0,237.75,31329.357798165136,4.997703691809574e-06,0.03571428571428571,0,0,0,1,0,0,0,0
28.0,3176382.0,1.5,7,8703.0,14.73,0.663,1,10.0,1.0,725.25,1270552.8,4.63735009285719e-06,0.35714285714285715,0,0,1,1,0,0,0,0
20.0,4541871.0,0.7,2,11795.0,21.02,0.121,1,15.0,1.0,982.9166666666666,2671688.823529412,4.628047642029542e-06,0.75,0,0,0,0,0,0,0,0
27.0,4743400.0,7.8,7,17840.0,19.11,0.781,1,3.0,1.0,1486.6666666666667,539022.7272727272,4.028754895485328e-06,0.1111111111111111,0,1,0,0,1,0,0,0
82.0,122581.0,51.1,2,23022.0,17.9,0.082,1,4.0,1.0,1918.5,2352.802303262956,0.0001460247018322429,0.04878048780487805,0,0,0,0,0,0,1,0
100.0,3856256.0,77.2,6,10704.0,19.55,0.52,0,22.0,1.0,892.0,49312.736572890026,5.06968285568104e-06,0.22,0,0,0,0,0,0,0,1
81.0,342540.0,79.7,7,32126.0,22.09,0.454,0,16.0,1.0,2677.1666666666665,4244.609665427509,6.448863055809377e-05,0.19753086419753085,0,0,1,0,0,0,0,1
91.0,1298315.0,7.9,4,25802.0,22.87,0.417,1,3.0,1.0,2150.1666666666665,145878.08988764044,1.7615126055598177e-05,0.03296703296703297,1,0,0,1,0,0,0,0
31.0,2579508.0,3.9,6,24036.0,12.01,0.236,1,15.0,1.0,2003.0,526430.2040816327,4.6559248291050735e-06,0.4838709677419355,0,1,0,0,0,1,0,0
53.0,2380219.0,31.8,3,22710.0,22.45,0.534,0,10.0,1.0,1892.5,72567.6524390244,9.431901252825369e-06,0.18867924528301888,0,1,0,0,0,0,0,1
54.0,3598804.0,18.8,1,3039.0,20.19,0.642,1,14.0,1.0,253.25,181757.77777777778,5.61019560659719e-06,0.25925925925925924,0,0,0,0,0,0,0,1
66.0,4391373.0,34.6,4,12781.0,22.44,0.172,0,15.0,1.0,1065.0833333333333,123353.17415730337,5.110017957932985e-06,0.22727272727272727,0,1,0,1,0,0,0,0
97.0,810564.0,59.1,5,15620.0,21.1,0.428,0,14.0,1.0,1301.6666666666667,13486.921797004992,2.6031225133086183e-05,0.14432989690721648,0,1,0,0,0,0,0,1
20.0,1613473.0,14.9,1,11391.0,13.74,0.821,1,19.0,1.0,949.25,101476.2893081761,8.515786433496915e-06,0.95,0,1,0,0,0,0,0,0
28.0,4514579.0,3.8,1,5337.0,14.97,0.758,0,8.0,1.0,444.75,940537.2916666667,3.3159230759007482e-06,0.2857142857142857,1,0,0,1,0,0,0,0
98.0,683447.0,75.9,5,12301.0,8.94,0.588,0,3.0,1.0,1025.0833333333333,8887.47724317295,1.3080731818660672e-05,0.030612244897959183,1,0,0,0,0,1,0,0
96.0,2757913.0,92.0,7,11131.0,20.9,0.16,1,25.0,1.0,927.5833333333334,29654.978494623654,7.578191343167336e-06,0.2604166666666667,1,0,0,1,0,0,0,0
70.0,4999929.0,24.2,1,17332.5,5.87,0.147,1,4.0,0.0,1444.375,198409.88095238095,1.1740164362301073e-06,0.05714285714285714,1,0,0,0,1,0,0,0
71.0,2833915.0,47.4,5,32694.0,16.29,0.016,1,28.0,1.0,2724.5,58551.96280991736,5.7482296581832345e-06,0.39436619718309857,0,1,0,0,0,0,1,0
42.0,2215549.0,31.1,3,18701.0,18.54,0.503,1,9.0,1.0,1558.4166666666667,69020.21806853582,8.368125296201845e-06,0.21428571428571427,0,0,1,0,0,1,0,0
34.0,427332.0,8.6,5,28461.0,14.555,0.364,0,24.0,1.0,2371.75,44513.75,3.4060088970428216e-05,0.7058823529411765,1,0,0,0,0,0,1,0
62.0,296575.0,3.2,2,2517.0,18.55,0.525,1,21.0,1.0,209.75,70613.09523809524,6.254720543806647e-05,0.3387096774193548,1,0,0,0,1,0,0,0
48.0,1463700.0,32.1,4,4723.0,22.81,0.404,1,13.0,1.0,393.5833333333333,44220.54380664652,1.558378384656429e-05,0.2708333333333333,0,1,0,0,1,0,0,0
90.0,2611622.0,60.3,6,24281.0,9.74,0.554,1,14.0,1.0,2023.4166666666667,42603.94779771615,3.729481628856845e-06,0.15555555555555556,1,0,0,0,0,0,0,1
78.0,1890963.0,4.6,3,4736.0,16.77,0.455,0,6.0,1.0,394.6666666666667,337671.9642857143,8.868492472622429e-06,0.07692307692307693,1,0,0,0,0,0,1,0
47.0,1451947.0,41.7,6,16426.0,19.34,0.217,1,16.0,1.0,1368.8333333333333,34003.44262295082,1.3320036254741906e-05,0.3404255319148936,0,0,1,0,0,0,0,0
85.0,5817775.0,13.7,1,28052.0,13.62,0.765,0,25.0,1.0,2337.6666666666665,395767.0068027211,2.3411007917802265e-06,0.29411764705882354,0,0,1,1,0,0,0,0
61.0,4180426.0,34.3,3,30600.0,23.11,0.772,0,22.0,1.0,2550.0,118425.6657223796,5.528143416928462e-06,0.36065573770491804,0,0,0,0,0,0,0,0
81.0,1502339.0,43.2,1,12494.0,13.67,0.04,1,6.0,1.0,1041.1666666666667,33989.5701357466,9.099138676997217e-06,0.07407407407407407,0,0,1,0,0,0,0,0
25.0,383039.0,20.1,6,11593.0,21.84,0.344,0,29.0,1.0,966.0833333333334,18153.50710900474,5.701754385964912e-05,1.16,0,1,0,0,0,0,0,1
63.0,556439.0,14.4,4,25344.0,22.61,0.535,1,17.0,1.0,2112.0,36132.40259740259,4.063331176766588e-05,0.2698412698412698,0,0,1,0,0,0,1,0
49.0,277452.0,14.0,6,14089.0,10.13,0.548,0,11.0,1.0,1174.0833333333333,18496.8,3.651068829675657e-05,0.22448979591836735,0,0,1,0,0,0,0,0
81.0,782883.0,42.0,1,20522.0,8.99,0.432,0,30.0,1.0,1710.1666666666667,18206.581395348836,1.1483182693732406e-05,0.37037037037037035,0,0,1,0,0,1,0,0
81.0,4826139.0,61.5,5,21973.0,14.555,0.477,1,24.0,1.0,1831.0833333333333,77218.224,3.015867753525592e-06,0.2962962962962963,1,0,0,0,0,0,1,0
20.0,5174393.0,19.4,2,24374.0,22.61,0.358,1,5.0,1.0,2031.1666666666667,253646.71568627452,4.369593811371921e-06,0.25,1,0,0,0,1,0,0,0
81.0,5665064.0,41.7,5,30043.0,18.07,0.362,0,5.0,1.0,2503.5833333333335,132671.28805620607,3.1897250958285564e-06,0.06172839506172839,0,1,0,0,0,0,0,1
96.0,4700671.0,92.6,6,27828.0,9.21,0.544,1,11.0,1.0,2319.0,50220.84401709402,1.959294330682932e-06,0.11458333333333333,0,0,1,0,1,0,0,0
89.0,5946795.44,19.1,3,9153.0,20.45,0.48,1,25.0,1.0,762.75,295860.46965174127,3.438826300232331e-06,0.2808988764044944,0,1,0,0,0,0,0,0
91.0,1921160.0,61.8,4,14916.0,9.07,0.563,1,18.0,1.0,1243.0,30591.71974522293,4.721103541035863e-06,0.1978021978021978,1,0,0,0,0,0,1,0
28.0,4375545.0,10.7,1,2374.0,8.54,0.38,1,26.0,1.0,197.83333333333334,373978.2051282051,1.9517564207986843e-06,0.9285714285714286,1,0,0,0,1,0,0,0
81.0,2239883.0,4.5,3,10929.0,20.79,0.532,1,8.0,1.0,910.75,407251.45454545453,9.28173066105209e-06,0.09876543209876543,0,1,0,0,0,0,0,0
70.0,5672889.0,10.6,6,16302.0,16.85,0.413,1,13.0,1.0,1358.5,489042.1551724138,2.9702673593177378e-06,0.18571428571428572,0,1,0,0,0,1,0,0
63.0,2984346.0,38.6,1,22153.0,6.13,0.033,0,3.0,0.0,1846.0833333333333,75362.27272727272,2.0540506851247524e-06,0.047619047619047616,0,0,0,0,0,0,0,0
98.0,3640562.0,29.1,2,1909.0,20.04,0.313,1,9.0,1.0,159.08333333333334,120948.90365448504,5.504643100531428e-06,0.09183673469387756,0,1,0,0,1,0,0,0
78.0,2058410.0,77.2,3,18908.0,13.71,0.06,0,11.0,1.0,1575.6666666666667,26322.37851662404,6.660477426519777e-06,0.14102564102564102,0,0,0,0,0,0,0,0
71.0,1038186.0,47.4,3,29995.0,13.67,0.789,1,12.0,1.0,2499.5833333333335,21450.12396694215,1.3167184717204126e-05,0.16901408450704225,0,1,0,1,0,0,0,0
77.0,1600853.0,7.6,1,11593.0,7.99,0.427,0,16.0,1.0,966.0833333333334,186145.69767441862,4.991086007843314e-06,0.2077922077922078,0,0,0,0,0,0,1,0
31.0,356414.0,1.0,1,805.0,20.55,0.7,0,6.0,1.0,67.08333333333333,178207.0,5.765750599722234e-05,0.1935483870967742,0,1,0,0,0,0,0,0
75.0,5238259.0,43.3,6,10426.0,11.68,0.73,0,12.0,1.0,868.8333333333334,118245.12415349888,2.2297480461069134e-06,0.16,0,0,1,1,0,0,0,0
100.0,272083.0,61.8,4,15790.0,17.42,0.607,1,25.0,1.0,1315.8333333333333,4332.531847133758,6.402434542273711e-05,0.25,0,0,0,1,0,0,0,0
78.0,1755498.0,68.9,2,4167.0,6.58,0.02,1,22.0,0.0,347.25,25114.420600858368,3.748222015506702e-06,0.28205128205128205,1,0,0,0,0,1,0,0
21.0,4880709.0,10.2,2,17332.5,10.38,0.107,0,11.0,0.0,1444.375,435777.5892857143,2.1267397571255002e-06,0.5238095238095238,1,0,0,0,0,0,1,0
21.0,1562426.0,15.5,5,17426.0,13.73,0.128,0,30.0,1.0,1452.1666666666667,94692.48484848485,8.787610557165231e-06,1.4285714285714286,0,0,0,0,0,1,0,0
73.0,3234431.0,63.0,1,29112.0,21.18,0.417,1,2.0,1.0,2426.0,50537.984375,6.548290395346076e-06,0.0273972602739726,0,0,1,1,0,0,0,0
38.0,1399285.0,17.7,1,12613.0,17.38,0.688,0,17.0,1.0,1051.0833333333333,74828.07486631017,1.2420620230603321e-05,0.4473684210526316,1,0,0,1,0,0,0,0
72.0,2926705.0,54.2,5,20187.0,20.11,0.231,0,7.0,1.0,1682.25,53020.018115942024,6.87120605896185e-06,0.09722222222222222,0,1,0,0,0,0,1,0
89.0,1410978.0,12.9,3,12913.0,6.05,0.555,1,10.0,1.0,1076.0833333333333,101509.20863309353,4.28780300769891e-06,0.11235955056179775,0,1,0,0,0,0,1,0
36.0,1207920.0,24.7,2,7137.0,9.39,0.77,1,3.0,1.0,594.75,47000.77821011673,7.773687186496468e-06,0.08333333333333333,0,0,1,0,1,0,0,0
57.0,3112591.0,55.6,4,5464.0,17.59,0.059,0,4.0,1.0,455.3333333333333,54992.77385159011,5.651238581863605e-06,0.07017543859649122,1,0,0,0,1,0,0,0
88.0,751852.0,78.4,3,8249.0,11.88,0.755,1,14.0,1.0,687.4166666666666,9469.168765743072,1.5800961092128382e-05,0.1590909090909091,0,0,0,0,0,0,0,1
89.0,3915147.0,12.1,2,14235.0,6.51,0.259,0,24.0,0.0,1186.25,298866.1832061069,1.6627723907244374e-06,0.2696629213483146,0,0,1,0,0,1,0,0
92.0,2903033.0,20.9,1,24554.0,11.4,0.331,1,2.0,1.0,2046.1666666666667,132558.58447488587,3.926926105584709e-06,0.021739130434782608,0,0,0,0,1,0,0,0
39.0,5370645.0,0.9,3,30342.0,18.56,0.813,1,23.0,1.0,2528.5,2826655.263157895,3.4558226328825244e-06,0.5897435897435898,0,0,0,0,0,1,0,0
78.0,3049529.0,52.7,2,32256.0,22.45,0.589,0,12.0,1.0,2688.0,56788.249534450646,7.361790177502762e-06,0.15384615384615385,1,0,0,1,0,0,0,0
55.0,2229541.0,49.1,6,22907.0,5.56,0.346,1,6.0,1.0,1908.9166666666667,44501.81636726547,2.493785719219463e-06,0.10909090909090909,0,0,0,0,0,0,0,0
38.0,2815139.0,22.7,2,17558.0,6.99,0.759,0,27.0,1.0,1463.1666666666667,118782.23628691984,2.4830026215392486e-06,0.7105263157894737,0,1,0,1,0,0,0,0
86.0,1473793.0,21.5,2,34279.0,12.37,0.37,1,27.0,1.0,2856.5833333333335,65501.91111111111,8.39330327033493e-06,0.313953488372093,1,0,0,0,0,0,0,0
39.0,4948490.0,36.7,3,30873.0,5.63,0.266,0,22.0,0.0,2572.75,131259.68169761272,1.1377205697656114e-06,0.5641025641025641,0,1,0,0,0,0,1,0
90.0,3205473.0,61.8,3,14094.0,7.83,0.015,1,27.0,0.0,1174.5,51042.56369426752,2.4426964623640683e-06,0.3,0,1,0,0,1,0,0,0
71.0,1102657.0,6.4,4,8190.0,10.59,0.363,1,16.0,1.0,682.5,149007.7027027027,9.604065811883647e-06,0.22535211267605634,0,1,0,0,0,1,0,0
59.0,1453991.0,40.0,5,21585.0,11.63,0.089,0,12.0,1.0,1798.75,35463.19512195122,7.998668493361724e-06,0.2033898305084746,0,1,0,0,0,1,0,0
58.0,5357966.0,19.4,2,29287.0,6.92,0.631,1,10.0,1.0,2440.5833333333335,262645.39215686277,1.2915346436437552e-06,0.1724137931034483,1,0,0,0,0,0,1,0
69.0,3649525.0,18.2,5,24743.0,14.58,0.333,0,21.0,1.0,2061.9166666666665,190079.42708333334,3.995039355795794e-06,0.30434782608695654,1,0,0,0,1,0,0,0
50.0,5269481.0,24.1,1,28248.0,9.5,0.81,1,19.0,1.0,2354.0,209939.48207171314,1.8028337510214476e-06,0.38,0,0,0,0,0,0,0,1
67.0,1810684.0,0.7,5,15159.0,7.11,0.306,1,23.0,1.0,1263.25,1065108.2352941176,3.926690727542339e-06,0.34328358208955223,0,1,0,0,0,0,0,0
56.0,1398316.0,43.9,7,4411.0,9.72,0.598,1,29.0,1.0,367.5833333333333,31142.89532293987,6.9512134945080415e-06,0.5178571428571429,0,0,0,0,0,1,0,0
51.0,1905740.0,13.3,4,11716.0,12.89,0.395,0,5.0,1.0,976.3333333333334,133268.53146853147,6.763773251454421e-06,0.09803921568627451,0,1,0,0,0,0,0,0
81.0,5652393.0,51.8,7,1908.0,11.77,0.064,0,18.0,1.0,159.0,107052.89772727274,2.0823035336885573e-06,0.2222222222222222,0,0,1,1,0,0,0,0
28.0,5811863.0,13.2,4,21477.0,16.23,0.278,0,6.0,1.0,1789.75,409286.1267605634,2.7925636250263256e-06,0.21428571428571427,0,0,0,0,0,1,0,0
67.0,5339644.0,7.7,4,25492.0,13.35,0.802,1,11.0,1.0,2124.3333333333335,613752.183908046,2.500166209551384e-06,0.16417910447761194,0,0,1,0,0,0,1,0
99.0,2958934.5,84.5,2,14278.0,14.62,0.074,0,4.0,1.0,1189.8333333333333,34607.42105263158,4.940966100815648e-06,0.04040404040404041,0,1,0,0,0,0,0,0
73.0,1544724.0,14.1,6,31408.0,21.04,0.502,1,9.0,1.0,2617.3333333333335,102299.60264900663,1.3620547346615092e-05,0.1232876712328767,1,0,0,1,0,0,0,0
43.0,4566530.0,32.7,3,4990.0,22.32,0.73,0,11.0,1.0,415.8333333333333,135505.3412462908,4.887736445892955e-06,0.2558139534883721,0,0,0,1,0,0,0,0
81.0,4066224.0,68.5,1,15067.0,19.84,0.406,0,5.0,1.0,1255.5833333333333,58506.82014388489,4.879218439707591e-06,0.06172839506172839,0,0,0,0,0,0,0,1
55.0,1892529.0,34.2,3,23385.0,12.07,0.381,1,30.0,1.0,1948.75,53765.028409090904,6.377706033722055e-06,0.5454545454545454,1,0,0,0,1,0,0,0
57.0,1098316.0,49.0,5,28722.0,17.9,0.614,0,28.0,1.0,2393.5,21966.32,1.629766269665315e-05,0.49122807017543857,0,1,0,0,0,0,0,1
44.0,1165068.0,26.4,6,3998.0,14.92,0.545,0,5.0,1.0,333.1666666666667,42520.7299270073,1.2806108479411949e-05,0.11363636363636363,0,0,1,0,0,0,0,0
85.0,771876.0,80.5,7,16402.0,17.89,0.15,1,7.0,1.0,1366.8333333333333,9470.871165644172,2.3177267880763387e-05,0.08235294117647059,1,0,0,0,0,0,0,1
99.0,5946795.44,98.8,7,3845.0,20.45,0.543,1,13.0,1.0,320.4166666666667,59587.128657314635,3.438826300232331e-06,0.13131313131313133,0,1,0,0,0,0,0,0
80.0,5281420.0,65.4,3,15870.0,13.77,0.379,1,25.0,1.0,1322.5,79539.4578313253,2.6072528586530026e-06,0.3125,0,1,0,0,0,0,1,0
60.0,1210184.0,23.0,5,28731.0,20.18,0.323,1,21.0,1.0,2394.25,50424.333333333336,1.6675136446080558e-05,0.35,0,0,0,0,0,0,1,0
87.0,4588074.0,61.8,7,24181.0,13.34,0.417,1,13.0,1.0,2015.0833333333333,73058.50318471338,2.9075374748669106e-06,0.14942528735632185,0,1,0,0,0,0,1,0
40.0,4614146.0,32.6,6,24083.0,16.96,0.2,0,27.0,1.0,2006.9166666666667,137325.77380952382,3.675652292828989e-06,0.675,0,1,0,0,0,1,0,0
67.0,719339.0,20.7,7,22605.0,19.62,0.436,1,12.0,1.0,1883.75,33149.26267281106,2.727500208524481e-05,0.1791044776119403,1,0,0,0,0,0,0,1
86.0,4917478.0,32.3,2,24812.0,21.64,0.296,1,24.0,1.0,2067.6666666666665,147672.012012012,4.400628858811598e-06,0.27906976744186046,1,0,0,0,0,1,0,0
67.0,5946795.44,56.0,6,17284.0,13.25,0.55,1,13.0,1.0,1440.3333333333333,104329.74456140351,2.2280903901260825e-06,0.19402985074626866,0,0,0,0,1,0,0,0
95.0,4593699.0,75.3,6,31183.0,21.82,0.334,0,15.0,1.0,2598.5833333333335,60205.753604193975,4.749983673291682e-06,0.15789473684210525,0,1,0,0,0,1,0,0
78.0,3848886.0,45.9,4,31928.0,21.23,0.83,1,19.0,1.0,2660.6666666666665,82065.79957356077,5.515880305137563e-06,0.24358974358974358,0,1,0,0,0,0,1,0
70.0,4612474.0,11.9,3,13452.0,20.37,0.684,1,30.0,1.0,1121.0,357556.12403100776,4.416284099100808e-06,0.42857142857142855,1,0,0,0,0,0,1,0
46.0,5722286.0,46.0,3,19782.0,19.28,0.253,1,8.0,1.0,1648.5,121750.76595744681,3.369282246766022e-06,0.17391304347826086,1,0,0,0,0,0,0,0
40.0,4376352.0,5.1,6,2222.0,8.18,0.802,0,18.0,1.0,185.16666666666666,717434.7540983607,1.8691362419804801e-06,0.45,0,1,0,0,0,1,0,0
49.0,5196386.0,30.8,6,2151.0,7.7,0.683,0,22.0,1.0,179.25,163408.36477987422,1.4817987959711238e-06,0.4489795918367347,1,0,0,0,0,1,0,0
83.0,3295070.0,65.5,3,19466.0,15.39,0.062,0,29.0,1.0,1622.1666666666667,49549.924812030076,4.670612560397029e-06,0.3493975903614458,0,0,0,0,0,1,0,0
81.0,690268.0,49.5,3,26969.0,12.24,0.587,1,21.0,1.0,2247.4166666666665,13668.673267326732,1.7732217439867648e-05,0.25925925925925924,1,0,0,0,1,0,0,0
88.0,805955.0,19.9,5,9005.0,12.71,0.336,1,16.0,1.0,750.4166666666666,38562.44019138756,1.5770091667535202e-05,0.18181818181818182,0,0,0,0,1,0,0,0
83.0,151745.0,11.1,2,22363.0,13.98,0.383,0,23.0,1.0,1863.5833333333333,12540.909090909092,9.212763433632517e-05,0.27710843373493976,1,0,0,0,1,0,0,0
65.0,5683980.0,13.9,1,20691.0,11.58,0.51,0,23.0,1.0,1724.25,381475.16778523487,2.0373044878228834e-06,0.35384615384615387,0,1,0,0,1,0,0,0
25.0,5153534.0,12.5,3,9394.0,16.24,0.367,0,16.0,1.0,782.8333333333334,381743.25925925927,3.1512350260549307e-06,0.64,1,0,0,0,0,0,0,1
56.0,2526620.0,45.3,4,25459.0,13.11,0.071,1,7.0,1.0,2121.5833333333335,54570.62634989201,5.188748134366017e-06,0.125,0,0,0,0,0,1,0,0
43.0,2367128.0,15.4,3,11015.0,10.41,0.312,1,10.0,1.0,917.9166666666666,144337.07317073172,4.397732442972056e-06,0.23255813953488372,0,0,0,0,0,0,0,0
65.0,3646693.0,30.0,4,10943.0,16.14,0.726,0,22.0,1.0,911.9166666666666,117635.25806451614,4.425926606400208e-06,0.3384615384615385,1,0,0,0,0,1,0,0
72.0,2031320.0,68.9,3,2283.0,8.92,0.783,0,8.0,1.0,190.25,29060.37195994277,4.391231124967447e-06,0.1111111111111111,0,1,0,0,0,0,0,1
